3.90 & 0.64 & 0.289 & 0.34 & 6.56 & 17.401 & 13142034.744 & 0.197 & 121623.707 \\
5.00 & 0.90 & 0.42 & 0.10 & 4.00 & 1.098 & 1.346 & 0.156 & 0.362 \\
5.25 & 0.61 & 0.183 & 0.39 & 7.57 & 3.183 & 23.031 & 0.264 & 0.490 \\
5.59 & 0.61 & 0.231 & 0.37 & 6.96 & 9.488 & 13.503 & 0.228 & 0.265 \\
5.68 & 0.84 & 0.196 & 0.44 & 4.65 & 3.230 & 468755.300 & 0.281 & 10854.765 \\
5.96 & 0.79 & 0.131 & 0.27 & 6.73 & 5.510 & 2020012.907 & 0.249 & 25238.135 \\
6.00 & 0.75 & 0.143 & 0.15 & 8.00 & 1.540 & 2.057 & 0.203 & 0.219 \\
6.25 & 0.82 & 0.199 & 0.31 & 4.29 & 5.480 & 33259.745 & 0.285 & 444.946 \\
6.37 & 0.78 & 0.133 & 0.48 & 6.02 & 81.116 & 5694267.388 & 0.157 & 15822.431 \\
7.00 & 0.90 & 0.25 & 0.10 & 4.00 & 1.042 & 1.109 & 0.185 & 0.330 \\
8.13 & 0.71 & 0.044 & 0.35 & 5.07 & 444.947 & 7253.761 & 0.085 & 4.488 \\
8.33 & 0.66 & 0.057 & 0.43 & 7.43 & 15.921 & 13.090 & 0.281 & 0.194 \\
8.48 & 0.77 & 0.114 & 0.34 & 6.27 & 14.969 & 5982427.599 & 0.254 & 28956.985 \\
8.90 & 0.62 & 0.015 & 0.46 & 5.42 & 2.316 & 16.674 & 0.447 & 0.114 \\
9.08 & 0.77 & 0.072 & 0.33 & 6.40 & 10.634 & 9404965.504 & 0.269 & 45296.715 \\
9.38 & 0.79 & 0.064 & 0.41 & 5.22 & 2.458 & 6.281 & 0.344 & 0.109 \\
9.68 & 0.74 & 0.109 & 0.42 & 5.66 & 8.501 & 15.046 & 0.330 & 0.152 \\
9.85 & 0.68 & 0.098 & 0.49 & 4.05 & 0.908 & 1.547 & 0.385 & 0.109 \\
10.00 & 0.80 & 0.082 & 0.20 & 8.00 & 3.449 & 342106.141 & 0.174 & 9049.445 \\
